CourseNumber	Course	Department	Credits	Pre-Requisites	Co-Requisites	Semesters	Restrictions
MET 4998	Undergraduate Research in Mechanical Engineering Technology	Mechanical Engrg Technology	variable to   6.0;  Repeatable to a Max of 6	null	null	On Demand	Permission of instructor required; Must be enrolled in one of the following Major(s): Mechanical Engineering Tech; Must be enrolled in one of the following Class(es): Senior
MET 4999	Professional Practice Seminar	Mechanical Engrg Technology	1.0; Graded Pass/Fail Only	null	null	"Fall, Spring"	Must be enrolled in one of the following Class(es): Senior
MGT 2000	Team Dynamics and Decision Making	Management	3	null	null	"Fall, Spring, Summer"	May not be enrolled in one of the following Class(es): Freshman
MGT 3000	Organizational Behavior	Management	3	null	null	"Fall, Spring, Summer"	May not be enrolled in one of the following Class(es): Freshman
MGT 3100	Leadership Development	Management	3	null	null	"Fall, Spring - Offered alternate years beginning with the 2008-2009 academic year "	May not be enrolled in one of the following Class(es): Freshman
MGT 3650	Intellectual Property Management	Management	3	UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	Spring - Offered alternate years beginning with the 2016-2017 academic year 	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
MGT 3800	Entrepreneurship	Management	3	null	null	"Fall, Spring, Summer"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
MGT 4000	Strategic Management	Management	3	MIS 2000 and FIN 3000 and OSM 3000 and MGT 3000 and MKT 3000 and BUS 2300	null	"Fall, Spring"	Must be enrolled in one of the following College(s): School of Business &amp; Economics; Must be enrolled in one of the following Class(es): Senior
MGT 4100	International Management	Management	3	MGT 3000 and EC 3100(C)	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
MGT 4200	Entrepreneurial Management	Management	3	MGT 3000 and MGT 3800	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
MGT 4500	Managing Change in Organizations	Management	3	MGT 3000	null	"Fall, Spring - Offered alternate years beginning with the 2012-2013 academic year "	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
MGT 4600	Management of Technology and Innovation	Management	3	null	null	"Fall, Spring, Summer"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
MGT 4700	Human Resource Management	Management	3	MGT 3000	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
MGT 4990	Special Topics in Management	Management	variable to   3.0;  Repeatable to a Max of 6	MGT 3000	null	On Demand	Permission of instructor required
MIS 2000	IS/IT Management	Management Information Systems	3	BUS 1100 or CS 1121 or CS 1131 or ENG 1101 or (ENG 1001 and ENG 1100) or SAT 1200	null	"Fall, Spring, Summer"	May not be enrolled in one of the following Class(es): Freshman
MIS 2100	Introduction to Business Programming	Management Information Systems	3	null	null	Spring	May not be enrolled in one of the following Class(es): Freshman
MIS 2200	Web Programming	Management Information Systems	3	MIS 2100 or CS 1121 or CS 1131	null	Fall	May not be enrolled in one of the following Class(es): Freshman
MIS 3000	Business Process Analysis	Management Information Systems	3	MIS 2000	null	Fall - Offered alternate years beginning with the 2011-2012 academic year 	May not be enrolled in one of the following Class(es): Freshman
MIS 3100	Business Database Management	Management Information Systems	3	MIS 2000(C)	null	"Fall, Spring"	May not be enrolled in one of the following Class(es): Freshman
MIS 3200	Systems Analysis and Design	Management Information Systems	3	MIS 2000(C)	null	"Fall, Spring"	May not be enrolled in one of the following Class(es): Freshman
MIS 3300	Telecommunications	Management Information Systems	3	MIS 2000(C)	null	Spring - Offered alternate years beginning with the 2012-2013 academic year 	May not be enrolled in one of the following Class(es): Freshman
MIS 3400	Business Intelligence	Management Information Systems	3	MIS 2000	null	Spring - Offered alternate years beginning with the 2011-2012 academic year 	May not be enrolled in one of the following Class(es): Freshman
MIS 3500	User-Centered Design	Management Information Systems	3	MIS 2000	null	Fall - Offered alternate years beginning with the 2012-2013 academic year 	May not be enrolled in one of the following Class(es): Freshman
MIS 4000	Advanced Information Systems	Management Information Systems	3	MIS 3100 and MIS 3200	null	"Fall, Spring - Offered alternate years beginning with the 2010-2011 academic year "	Must be enrolled in one of the following Class(es): Senior
MIS 4100	Information Systems Projects	Management Information Systems	3	MIS 3100 and (MIS 3000 or MIS 3200)	null	"Fall, Spring"	Must be enrolled in one of the following Class(es): Senior
MIS 4990	Special Topics in Management Information Systems	Management Information Systems	variable to   3.0;  Repeatable to a Max of 6	MIS 2000	null	On Demand	Must be enrolled in one of the following Class(es): Senior
MKT 3000	Principles of Marketing	Marketing	3	null	null	"Fall, Spring, Summer"	May not be enrolled in one of the following Class(es): Freshman
MKT 3200	Consumer Behavior	Marketing	3	MKT 3000	null	Fall	May not be enrolled in one of the following Class(es): Freshman
MKT 3400	Integrated Marketing Communications	Marketing	3	BA 3800 or MKT 3000	null	Spring	May not be enrolled in one of the following Class(es): Freshman
MKT 3600	Marketing Research	Marketing	3	(MA 2710 or MA 2720 or MA 3710 or BUS 2100) and MKT 3000	null	"Fall, Spring"	May not be enrolled in one of the following Class(es): Freshman
MKT 4100	Sales and Sales Management	Marketing	3	MKT 3000	null	"Fall, Spring, Summer"	May not be enrolled in one of the following Class(es): Freshman
MKT 4200	Business to Business Marketing	Marketing	3	MKT 3000	null	"Fall, Spring"	May not be enrolled in one of the following Class(es): Freshman
MKT 4300	Global Marketing	Marketing	3	MKT 3000	null	"Fall, Spring"	May not be enrolled in one of the following Class(es): Freshman
MKT 4500	Introduction to Digital Marketing	Marketing	3	MKT 3000	null	Fall	May not be enrolled in one of the following Class(es): Freshman
MKT 4700	Marketing Strategy	Marketing	3	MKT 3200 and MKT 3600 and MKT 4300(C)	null	"Fall, Spring"	May not be enrolled in one of the following Level(s): Graduate
MKT 4990	Special Topics in Marketing	Marketing	variable to   3.0;  Repeatable to a Max of 6	MKT 3000	null	On Demand	Permission of instructor required
MY 2100	Introduction to Materials Science and Engineering	Materials Science &amp; Engrg	3	CH 1112 or CH 1122 or (CH 1150 and CH 1151) or (CH 1160 and CH 1161)	null	"Fall, Spring, Summer"	Permission of instructor required
MY 2110	Introduction to Materials Science and Engineering II	Materials Science &amp; Engrg	3	MY 2100 and (ENG 1100 or ENG 1101)	null	"Fall, Spring"	Permission of instructor required
MY 3100	Materials Processing I	Materials Science &amp; Engrg	4	MY 2100 and MA 2160	null	Fall	Permission of instructor required
MY 3110	Materials Processing II	Materials Science &amp; Engrg	4	MY 2110 and MY 3100 and (MA 3520 or MA 3521 or MA 3530 or MA 3560)	null	Spring	Permission of instructor required
MY 3200	Materials Characterization I	Materials Science &amp; Engrg	4	MY 2100 and MY 2110	null	Spring	Permission of instructor required
MY 3210	Materials Characterization II	Materials Science &amp; Engrg	4	MY 2100	null	Fall	Permission of instructor required
MY 3300	Design of Microstructure	Materials Science &amp; Engrg	3	MY 2110 and MY 3100 and MY 3200(C)	null	Spring	Permission of instructor required
MY 3500	Introduction to Semiconductor Materials &amp; Devices	Materials Science &amp; Engrg	3	PH 2400	null	Fall	Permission of instructor required
MY 4130	Principles of Metal Casting	Materials Science &amp; Engrg	3	MY 2100	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
MY 4140	Science of Ceramic Materials	Materials Science &amp; Engrg	3	MY 2100	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
MY 4155	Composite Materials	Materials Science &amp; Engrg	3	MY 2100	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
MY 4164	Fundamentals of Corrosion	Materials Science &amp; Engrg	1	CH 1150 and CH 1151	null	Fall	Must be enrolled in one of the following Class(es): Senior
MY 4165	Corrosion and Environmental Effects	Materials Science &amp; Engrg	3	MY 2100	null	Fall	Must be enrolled in one of the following Class(es): Senior
MY 4180	Advanced Physical Metallurgy	Materials Science &amp; Engrg	3	MY 2100 and MY 3300	null	On Demand	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
MY 4190	Environmental Engineering for Materials Processing Industries	Materials Science &amp; Engrg	3	null	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
MY 4200	Introduction to Scanning Electron Microscopy	Materials Science &amp; Engrg	2	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
MY 4201	Introduction to Scanning Electron Microscopy Laboratory	Materials Science &amp; Engrg	1	MY 4200(C)	null	"Fall, Spring"	Must be enrolled in one of the following Major(s): Materials Science and Engrg; May not be enrolled in one of the following Class(es): Freshman
MY 4220	Materials Forensics	Materials Science &amp; Engrg	3	null	"MY 2100, MY 3200"	Fall	Must be enrolled in one of the following Major(s): Materials Science and Engrg; May not be enrolled in one of the following Class(es): Freshman
MY 4240	Introduction to MEMS	Materials Science &amp; Engrg	4	null	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
MY 4292	Light and Photonic Materials	Materials Science &amp; Engrg	3	PH 2200 or EE 2190 or EE 3140	null	Spring	"Must be enrolled in one of the following Major(s): Physics, Applied Physics, Electrical Engineering, Materials Science and Engrg; Must be enrolled in one of the following Class(es): Junior, Senior"
MY 4300	Mechanical Behavior of Materials	Materials Science &amp; Engrg	3	MY 2110 and MY 2100 and (MEEM 2150 or ENG 2120)	null	"Fall, Summer"	"Must be enrolled in one of the following Major(s): Physics, Applied Physics, Electrical Engineering, Materials Science and Engrg; Must be enrolled in one of the following Class(es): Junior, Senior"
MY 4310	Practical Scanning Probe Microscopy for Undergraduates	Materials Science &amp; Engrg	1	null	null	On Demand - Offered alternate years beginning with the 2011-2012 academic year 	Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman
MY 4600	Introduction to Polymer Engineering	Materials Science &amp; Engrg	3	MY 2100	null	Fall	Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman
MY 4610	"Computational Materials Science: Theory, Modeling, Simulation, and Practice"	Materials Science &amp; Engrg	3	null	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
MY 4630	Contact Mechanics and Nanoindentation	Materials Science &amp; Engrg	3	MY 2100 and PH 2200 and MA 3521 and MEEM 2150	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
MY 4740	Hydrometallurgy/Pyrometallurgy	Materials Science &amp; Engrg	4	CH 1122 or (CH 1160 and CH 1161)	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
MY 4777	Distributed Additive Manufacturing Using Open-Source 3-D Printing	Materials Science &amp; Engrg	3	null	null	Fall	"Must be enrolled in one of the following College(s): College of Engineering; Must be enrolled in one of the following Class(es): Junior, Senior"
MY 4800	Material and Process Selection in Design	Materials Science &amp; Engrg	3	MY 2100	null	Spring	"Must be enrolled in one of the following College(s): College of Engineering; Must be enrolled in one of the following Class(es): Junior, Senior"
MY 4920	Materials Science &amp; Engineering Senior Design Project I	Materials Science &amp; Engrg	2	MY 3110 and MY 3200 and MY 3210 and MY 3300 and MY 4940(C)	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
MY 4930	Materials Science &amp; Engineering Senior Design Project II	Materials Science &amp; Engrg	2	MY 4920	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
MY 4940	Material Design	Materials Science &amp; Engrg	2	MY 3100 and MY 3110(C) and MY 3200(C) and MY 3210(C) and MY 3300(C) and ENG 1102	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
MY 4970 - Special Topics	Special Topics - Materials	Materials Science &amp; Engrg	variable to   4.0;  May be repeated	null	null	"Fall, Spring, Summer"	Permission of instructor required
MY 4990	Undergraduate Research	Materials Science &amp; Engrg	variable to   6.0;  May be repeated	null	null	"Fall, Spring, Summer"	Permission of instructor required
OSM 3000	Operations and Supply Chain Management	Operations &amp; Supply Chain Mgmt	3	(MA 1135 or MA 1160 or MA 1161) and (MA 2710 or MA 2720 or MA 3710 or MA 3720 or EET 2010 or BUS 2100)	null	"Fall, Spring, Summer"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
OSM 3150	Introduction to Supply Chain Management	Operations &amp; Supply Chain Mgmt	3	OSM 3000	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
OSM 3200	Project Management	Operations &amp; Supply Chain Mgmt	3	MA 2710 or MA 2720 or MA 3710 or EET 2010 or BUS 2100	null	"Fall, Spring, Summer"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
OSM 3600	Procurement and Supply Management	Operations &amp; Supply Chain Mgmt	3	(MA 2720 or MA 3710) and (MA 1135 or MA 1160 or MA 1161)	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
OSM 4100	Global Operations Strategy	Operations &amp; Supply Chain Mgmt	3	OSM 3000	null	On Demand - Offered alternate years beginning with the 2002-2003 academic year 	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
OSM 4150	Advanced Supply Chain Management	Operations &amp; Supply Chain Mgmt	3	BUS 2300 and OSM 3150	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
OSM 4200	Advanced Project Management	Operations &amp; Supply Chain Mgmt	3	OSM 3200 or ENG 4300	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
OSM 4650	Six Sigma Fundamentals	Operations &amp; Supply Chain Mgmt	3	MA 2710 or MA 2720 or MA 3710 or MA 3720 or BUS 2100	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
OSM 4700	Logistics and Transportation Management	Operations &amp; Supply Chain Mgmt	3	(MA 2710 or MA 2720 or MA 3710) and (MA 1135 or MA 1160 or MA 1161)	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0101	Flag Football	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Summer"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0103	Bait and Fly Casting	Physical Education	0.5; Graded Pass/Fail Only	null	null	On Demand	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0104	Ultimate Frisbee	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Summer"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0105	Beginning Bowling	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0106	Beginning Golf	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Summer"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0107	Floor Hockey	Physical Education	0.5; Graded Pass/Fail Only	null	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0108	Broomball	Physical Education	0.5; Graded Pass/Fail Only	null	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0109	Aikido	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0113	Disc Golf	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Summer"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0114	Frisbockey	Physical Education	0.5; Graded Pass/Fail Only	null	null	On Demand	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0115	Beginning Swimming	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring, Summer"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0116	Beginning Basketball	Physical Education	0.5; Graded Pass/Fail Only	null	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0117	Beginning Hockey	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0118	Beginning Weight Training	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring, Summer"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0119	Beginning Fitness Training	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0120	Beginning Alpine Skiing (Downhill)	Physical Education	0.5; Graded Pass/Fail Only	null	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0121	Beginning Snowboarding	Physical Education	0.5; Graded Pass/Fail Only	null	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0122	Softball	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Summer"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0123	Telemark Skiing	Physical Education	0.5; Graded Pass/Fail Only	null	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0125	Sand Volleyball	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Summer"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0126	Beginning Volleyball	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0130	Water Aerobics	Physical Education	0.5; Graded Pass/Fail Only	null	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0132	Beginning Soccer	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Summer"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0135	Beginning Cross Country Skiing	Physical Education	0.5; Graded Pass/Fail Only	null	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0137	Table Tennis	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0138	Beginning Racquetball/Squash	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0139	Beginning Badminton	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0140	Beginning Tennis	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0145	Beginning Rifle	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0146	Beginning Billiards	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0148	Beginning Skating	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0150	Outdoor Lifetime Activities	Physical Education	0.5; Graded Pass/Fail Only	null	null	Summer	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0151	Indoor Lifetime Activities	Physical Education	0.5; Graded Pass/Fail Only	null	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0152	Social Dance I	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0153	Aerobics I	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0155	Beginning Road Biking	Physical Education	0.5; Graded Pass/Fail Only	null	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0156	Beginning Mountain Biking	Physical Education	0.5; Graded Pass/Fail Only	null	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0166	Moving for Fitness	Physical Education	0.5; Graded Pass/Fail Only	null	null	Summer	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0167	Beginning Yoga	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0168	Beginning Pilates	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0169	Spinning	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0170	TaeKwonDo and Hapkido I	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0175	Hiking	Physical Education	0.5; Graded Pass/Fail Only	null	null	Summer	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0176	Outdoor Adventure	Physical Education	variable to   3.0;  Repeatable to a Max of 3; Graded Pass/Fail Only	null	null	On Demand	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0200	Fitness Foundations	Physical Education	1.0; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0205	Intermediate Bowling	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0206	Intermediate Golf	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Summer"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0209	Intermediate Aikido	Physical Education	0.5; Graded Pass/Fail Only	null	null	On Demand	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0210	Special Topics in Physical Education	Physical Education	0.5;  Repeatable to a Max of 1; Graded Pass/Fail Only	null	null	"Fall, Spring, Summer"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0215	Intermediate Swimming	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0216	Intermediate Basketball	Physical Education	0.5; Graded Pass/Fail Only	null	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0217	Intermediate Hockey	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0218	Intermediate Weight Training	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0219	Intermediate Fitness Training	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0220	Intermediate Alpine Skiing (Downhill)	Physical Education	0.5; Graded Pass/Fail Only	null	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0221	Intermediate Snowboarding	Physical Education	0.5; Graded Pass/Fail Only	null	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0226	Intermediate Volleyball	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0230	Water Polo	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0232	Intermediate Soccer	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring, Summer"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0235	Intermediate Cross Country Skiing	Physical Education	0.5; Graded Pass/Fail Only	null	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0237	Intermediate Table Tennis	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0238	Intermediate Racquetball/Squash	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0239	Intermediate Badminton	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0240	Intermediate Tennis	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0246	Intermediate Billiards	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0248	Intermediate Skating	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0252	Social Dance II	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0253	Aerobics II	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0256	Intermediate Mountain Biking	Physical Education	0.5; Graded Pass/Fail Only	null	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0266	Running for Fitness	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0267	Intermediate Yoga	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0268	Intermediate Pilates	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0270	Cardio TaeKwonDo	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0315	Fitness Swimming	Physical Education	0.5; Graded Pass/Fail Only	null	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0320	Advanced Skiing	Physical Education	0.5; Graded Pass/Fail Only	null	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0321	Advanced Snowboarding	Physical Education	0.5; Graded Pass/Fail Only	null	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
PE 0330	Club Sports	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	Permission of instructor required
PE 0340	Advanced Tennis	Physical Education	0.5; Graded Pass/Fail Only	PE 0240	null	Spring	Permission of instructor required
PE 0352	Social Dance III	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	Permission of instructor required
PE 0353	Aerobics III	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	Permission of instructor required
PE 0355	Advanced Road Biking	Physical Education	0.5; Graded Pass/Fail Only	null	null	Fall	Permission of instructor required
PE 0367	Mindful Yoga	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	Permission of instructor required
PE 0420	Ski Instructor Training	Physical Education	0.5; Graded Pass/Fail Only	null	null	On Demand	Permission of instructor required
PE 0421	Snowboard Instructor Training	Physical Education	0.5; Graded Pass/Fail Only	null	null	On Demand	Permission of instructor required
PE 0425	Intramurals	Physical Education	0.5;  Repeatable to a Max of 1; Graded Pass/Fail Only	null	null	"Fall, Spring"	May not be enrolled in one of the following Class(es): Freshman
PE 0430	Club Sports Leadership	Physical Education	0.5; Graded Pass/Fail Only	null	null	"Fall, Spring"	Permission of instructor required
PE 0435	Rape Aggression Defense-Basic Physical Defense	Physical Education	1.0; Graded Pass/Fail Only	null	null	"Fall, Spring"	Permission of instructor required
PE 0450	Physical Education Fusion-Full	Physical Education	1.0; Graded Pass/Fail Only	null	null	"Fall, Spring, Summer"	Permission of instructor required
PE 1470	Lifeguard Swimming	Physical Education	1.0; Graded Pass/Fail Only	null	EH 2470	Spring	Permission of instructor required
PE 1580	Water Safety Skills	Physical Education	1.0; Graded Pass/Fail Only	null	EH 2580	Spring	Permission of instructor required
PE 1690	Medical 1st Responder Training	Physical Education	1.0; Graded Pass/Fail Only	null	EH 3690	On Demand	Permission of instructor required
