CourseNumber	Course	Department	Credits	Pre-Requisites	Co-Requisites	Semesters	Restrictions
CS 1131	Accelerated Introduction to Programming	Computer Science	5	MA 1031 or MA 1032 or MA 1160(C) or MA 1161(C)	null	Fall	Permission of department required
CS 1142	Programming at the Hardware Software Interface	Computer Science	3	CS 1122 or CS 1131	null	"Fall, Spring, Summer"	Permission of department required
CS 2090	Special Topics in Computer Science	Computer Science	variable to   3.0;  May be repeated	null	null	On Demand	Permission of instructor required
CS 2311	Discrete Structures	Computer Science	3	(CS 1121 or CS 1131) and (MA 1135 or MA 1160 or MA 1161)	null	"Fall, Spring, Summer"	Permission of instructor required
CS 2321	Data Structures	Computer Science	3	CS 1122 or CS 1131	null	"Fall, Spring, Summer"	Permission of instructor required
CS 3000	Ethical and Social Aspects of Computing	Computer Science	2	CS 3141	null	"Fall, Spring"	"Must be enrolled in one of the following Class(es): Junior, Senior"
CS 3090	Special Topics in Computer Science	Computer Science	variable to   3.0;  May be repeated	null	null	On Demand	Permission of instructor required
CS 3141	Team Software Project	Computer Science	3	CS 2311 and CS 2321	null	"Fall, Spring"	Permission of instructor required
CS 3311	Formal Models of Computation	Computer Science	3	CS 2311	null	"Fall, Spring, Summer"	Permission of instructor required
CS 3331	Concurrent Computing	Computer Science	3	CS 1142 or (CS 1141 and CS 1040) and CS 2311 and CS 2321	null	"Fall, Spring"	Permission of instructor required
CS 3411	Systems Programming	Computer Science	3	CS 3421	null	"Fall, Spring, Summer"	Permission of instructor required
CS 3421	Computer Organization	Computer Science	3	(CS 1141 and CS 1040) or CS 1142	null	"Fall, Spring, Summer"	Permission of instructor required
CS 3425	Introduction to Database Systems	Computer Science	3	CS 2311 and CS 2321	null	"Fall, Spring"	Permission of instructor required
CS 3712	Software Quality Assurance	Computer Science	3	CS 3141	null	Spring	Permission of instructor required
CS 4090	Special Topics in Computer Science	Computer Science	variable to   4.0;  May be repeated	null	null	On Demand	Permission of instructor required
CS 4099	Directed Study in Computer Science	Computer Science	variable to   4.0;  Repeatable to a Max of 6	null	null	"Fall, Spring, Summer"	Permission of instructor required
CS 4121	Programming Languages	Computer Science	3	CS 2321 and CS 3421 and CS 3311	null	"Fall, Spring"	Permission of instructor required
CS 4130	Compiler Design and Optimization	Computer Science	3	CS 4121	null	"Fall, Spring"	May not be enrolled in one of the following Level(s): Graduate
CS 4321	Introduction to Algorithms	Computer Science	3	CS 2311 and CS 2321	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
CS 4411	Operating Systems	Computer Science	3	CS 3331 and CS 3421	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
CS 4425	Database Management System Design	Computer Science	3	CS 3425	null	On Demand	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
CS 4431	Computer Architecture	Computer Science	3	CS 3421	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
CS 4461	Computer Networks	Computer Science	3	CS 3411	null	"Fall, Spring"	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
CS 4471	Computer Security	Computer Science	3	CS 3411 or CS 4411	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
CS 4496	GPU and Multicore Programming	Computer Science	3	CS 3411 and CS 3421	null	Fall	May not be enrolled in one of the following Level(s): Graduate
CS 4611	Computer Graphics	Computer Science	3	(CS 1141 or CS 1142) and CS 2321 and MA 2330	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
CS 4710	Model-Driven Software Development	Computer Science	3	CS 3311 and CS 3141(C)	null	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
CS 4711	Software Processes and Management	Computer Science	3	CS 3141	null	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore"
CS 4750	Teaching Methods in Computer Science	Computer Science	3	ED 4700	null	On Demand	"Permission of department required; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
CS 4760	Human-Computer Interactions	Computer Science	3	CS 3141	null	Spring	"Permission of department required; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
